dt_local,lf_sys,stwpf,wgrpp,stppf,temp_fcst,temp_act,wind,solar,outage_total,outage_houston,outage_irr
2026-07-06 00:00:00,61460.51,11101.0,9499.8,0.0,23.8,29.4,10949.0,0.0,6565.0,1266.0,5050.0
2026-07-06 01:00:00,58385.55,10408.9,8813.0,0.0,25.9,28.3,8940.0,0.0,6565.0,1266.0,5050.0
2026-07-06 02:00:00,56081.25,9378.6,7822.1,0.0,25.7,27.8,7268.0,0.0,6565.0,1266.0,5050.0
2026-07-06 03:00:00,54726.22,8382.1,6891.7,0.0,25.5,27.5,6760.0,0.0,6565.0,1266.0,5050.0
2026-07-06 04:00:00,54353.32,7635.3,6207.3,0.0,25.4,27.2,6773.0,0.0,6565.0,1266.0,5050.0
2026-07-06 05:00:00,54970.53,6724.1,5396.3,0.0,25.2,26.8,6049.0,0.0,6565.0,1266.0,5050.0
2026-07-06 06:00:00,55888.4,5640.8,4431.3,209.6,25.5,26.5,5016.0,183.0,6565.0,1266.0,5050.0
2026-07-06 07:00:00,56903.09,4484.0,3370.8,5934.8,25.7,26.8,3715.0,6677.0,6565.0,1266.0,5050.0
2026-07-06 08:00:00,60123.59,3408.0,2369.9,18636.4,26.6,28.2,2475.0,19796.0,6663.0,1266.0,5077.0
2026-07-06 09:00:00,64275.98,2859.2,1844.2,26114.2,27.9,30.0,2274.0,25318.0,6716.0,1266.0,5248.0
2026-07-06 10:00:00,68913.72,2445.3,1443.0,29169.9,29.2,31.5,1684.0,28805.0,6716.0,1266.0,5248.0
2026-07-06 11:00:00,73456.45,2095.1,1102.0,31596.5,30.3,33.2,1263.0,30916.0,6640.0,1266.0,5139.0
2026-07-06 12:00:00,77413.41,2044.4,1042.3,32380.9,32.3,35.0,1681.0,31004.0,6721.0,1380.0,5107.0
2026-07-06 13:00:00,80696.75,2385.1,1355.6,31737.0,33.4,32.3,2741.0,30831.0,6721.0,1380.0,5107.0
2026-07-06 14:00:00,82415.78,3073.2,1995.4,31594.1,34.4,33.4,3232.0,30812.0,6721.0,1380.0,5107.0
2026-07-06 15:00:00,82979.69,3885.4,2725.7,30816.5,35.1,33.7,4263.0,29058.0,6721.0,1380.0,5107.0
2026-07-06 16:00:00,83116.39,4758.2,3499.6,27776.6,35.6,33.0,6262.0,27356.0,6509.0,1266.0,5057.0
2026-07-06 17:00:00,82651.18,5813.9,4398.9,25320.2,35.2,33.5,8596.0,27413.0,6505.0,1266.0,5057.0
2026-07-06 18:00:00,81568.33,7130.8,5483.5,20581.9,33.9,34.0,11199.0,22904.0,6505.0,1266.0,4834.0
2026-07-06 19:00:00,79432.0,8527.7,6675.4,10255.9,33.0,31.2,12661.0,10471.0,6505.0,1266.0,4834.0
2026-07-06 20:00:00,76425.92,10057.2,8031.5,1112.3,30.6,30.7,11910.0,1100.0,6505.0,1266.0,4714.0
2026-07-06 21:00:00,73980.78,11796.6,9640.3,0.0,28.7,30.1,11382.0,1.0,6505.0,1266.0,4914.0
2026-07-06 22:00:00,70018.82,13381.6,11106.8,0.0,27.5,29.7,10655.0,1.0,6505.0,1266.0,4903.0
2026-07-06 23:00:00,65884.97,14056.6,11702.5,0.0,26.9,29.2,10495.0,1.0,5761.0,1266.0,4868.0
2026-07-07 00:00:00,61812.21,12804.0,11107.2,0.0,26.4,28.3,9895.0,1.0,6634.0,1278.0,6039.0
2026-07-07 01:00:00,58800.15,12912.9,11201.3,0.0,25.8,27.4,9370.0,1.0,6634.0,1278.0,6039.0
2026-07-07 02:00:00,56489.53,12437.6,10738.0,0.0,25.5,27.1,9178.0,1.0,6634.0,1278.0,6039.0
2026-07-07 03:00:00,54988.77,11670.2,10004.6,0.0,25.3,26.8,8610.0,0.0,6786.0,1278.0,6039.0
2026-07-07 04:00:00,54523.28,10696.0,9061.5,0.0,25.1,26.6,8069.0,0.0,6915.0,1278.0,6039.0
2026-07-07 05:00:00,55421.29,9586.1,7973.4,0.0,24.9,26.3,7284.0,1.0,6773.0,1288.0,6271.0
2026-07-07 06:00:00,56411.95,8531.6,6976.8,212.8,24.7,26.1,6403.0,199.0,6744.0,1288.0,5808.0
2026-07-07 07:00:00,57306.05,7018.0,5610.6,6434.4,24.5,26.1,5781.0,7138.0,6894.0,1288.0,6161.0
2026-07-07 08:00:00,60384.29,5336.6,4124.1,20478.9,26.4,27.6,4072.0,22091.0,6969.0,1288.0,5929.0
2026-07-07 09:00:00,64601.21,4604.4,3459.5,28321.7,27.9,29.2,4306.0,28476.0,7658.0,1628.0,5929.0
2026-07-07 10:00:00,69151.64,4137.6,3022.1,31275.7,28.7,30.6,4328.0,31159.0,8009.0,1828.0,6049.0
2026-07-07 11:00:00,73670.04,3495.4,2417.8,32824.2,29.5,31.9,4374.0,31159.0,8009.0,1828.0,6045.0
2026-07-07 12:00:00,77790.56,3296.2,2226.1,33109.2,30.4,33.2,4357.0,29839.0,7879.0,1818.0,6012.0
2026-07-07 13:00:00,81248.05,3664.8,2563.3,31283.6,31.3,26.8,4100.0,29405.0,7848.0,1818.0,5767.0
2026-07-07 14:00:00,82856.53,4289.6,3109.2,31114.9,32.1,28.4,5282.0,28935.0,7848.0,1818.0,5767.0
2026-07-07 15:00:00,83643.06,5125.1,3841.7,30215.6,32.7,30.7,6274.0,28099.0,7648.0,1618.0,5767.0
2026-07-07 16:00:00,83876.97,6200.9,4740.8,27764.3,32.1,31.8,7275.0,27517.0,7213.0,1258.0,5737.0
